1;https://productcenter.ru/producers/22334/ooo-palanzh;Российский завод полимерных труб Паланж;Пресс-фитинг угольник Palanzh (Паланж);Пресс-фитинг тройник Palanzh (Паланж);Пресс-фитинг прямой Palanzh (Паланж);Труба из термостойкого полиэтилена Pert;Металлопластиковая труба Pex-al-Pex Palanzh;Труба из сшитого полиэтилена Pex Palanzh;Металлопластиковая труба Pert-al-Pert Palanzh;0;0;0
25;https://productcenter.ru/producers/26999/ooo-rostprogriess;ООО РОСТПРОГРЕСС;Гель-бальзам для стирки всех видов ткани Ecо;Гель-бальзам для стирки детского белья Eco-Premium;Гель, бальзам для стирки  белья Eco-Premium;Гель-бальзам для стирки сложных загрязнений;Гель для стирки мембраны, пуховиков CLEAN SPORT;0;0;0;0;0
26;https://productcenter.ru/producers/25884/ooo-spietsdormash;ООО «СпецДорМаш»;Автогрейдер СДМ-25, полный привод, m= 23 700 кг;0;0;0;0;0;0;0;0;0
27;https://productcenter.ru/producers/25428/ooo-zielienaia-manufaktura;ООО «Зеленая Мануфактура»;Подарочные наборы: гель для душа+парфюмерная вода;Гель для душа;Бытовые гипоаллергенные средства для чистки дома;Мужская и женская парфюмерная вода;Антисептик ORGANELL;0;0;0;0;0
28;https://productcenter.ru/producers/23116/ooo-ol-lobaratori;Производитель стирального порошка «Оль Лаборатори»;Стиральный порошок «OL LABORATORY»;0;0;0;0;0;0;0;0;0
29;https://productcenter.ru/producers/21977/0250;0250— Производитель малых архитектурных форм;Модульная скамья;Вазон КУБЭ;0;0;0;0;0;0;0;0
30;https://productcenter.ru/producers/21163/ooo-uralskiie-eniergosistiemy;ООО «Уральские ЭнергоСистемы»;Подстанции КТП киоскового типа;Панели распределительных щитов ЩО;Щиты этажные;0;0;0;0;0;0;0
31;https://productcenter.ru/producers/20411/npo-bars;НПО БАРС;Угловой автоматический станок «БАРС 5»;0;0;0;0;0;0;0;0;0
32;https://productcenter.ru/producers/20276/krasnyi-khomiak;Красный Хомяк;Дробилка для солода Красный Хомяк;0;0;0;0;0;0;0;0;0
33;https://productcenter.ru/producers/18295/chieliabinskii-zavod-distilliatsionnykh-apparatov;«Челябинский завод дистилляционных аппаратов»;Самогонные аппараты «Горилыч» Эконом;Мангалы стальные многоразовые;Коптильни бытовые из нержавейки;0;0;0;0;0;0;0
34;https://productcenter.ru/producers/17921/uralstroitiekhnologii;Уралстройтехнологии, г.Челябинск;Насосные станции для транспортировки жидкостей;0;0;0;0;0;0;0;0;0
35;https://productcenter.ru/producers/16573/promyshliennaia-kompaniia-elina;Промышленная компания «ЭЛИНА», г.Копейск;Фары-вспышки предупреждающие;Сигнальные проблесковые маяки;Установки сигнальные громкоговорящие;0;0;0;0;0;0;0
36;https://productcenter.ru/producers/16443/proizvodstviennaia-kompaniia-sparta;Производственная компания «Спарта»;Кремовый зефир «ВСЕГДА ГОТОВь»;Молоко сгущённое фасованное;Растительные сливки для взбивания;0;0;0;0;0;0;0
37;https://productcenter.ru/producers/13933/orfieia;Протезно-ортопедическое предприятие «ОРТО-МЕД», г.Челябинск;Ортопедические детские сандалии ТМ «Орфея»;0;0;0;0;0;0;0;0;0
38;https://productcenter.ru/producers/9231/kompaniia-matraskin;Компания «Матраскин»;Наматрасники из жаккарда;Матрасы для детей;Матрасы беспружинные спальные;0;0;0;0;0;0;0
39;https://productcenter.ru/producers/7456/ptk-tiekhnis;ПТК Технис;Дробилка ножевая СТРИЖ-3 парафиновая;Отсадочная машина Прима-6 для производства печенья;Отсадочная машина Славянка-3 для производства печенья;Отсадочная машина МКТ-120 для производства печенья;0;0;0;0;0;0
